cat,貓,(n.),0,0,0,2020/03/14 00:00:00
rat,老鼠,(n.),0,0,0,2020/03/15 00:00:00
pen,筆、鋼筆,(n.),0,0,0,2020/03/16 00:00:00
red,紅色,(n.),0,0,0,2020/03/17 00:00:00
pig,豬,(n.),0,0,1,2020/03/18 00:00:00
cop,警察,(n.),0,0,1,2020/03/19 00:00:00
bug,蟲子,(n.),0,0,1,2020/03/20 00:00:00
sun,太陽,(n.),0,0,1,2020/03/21 00:00:00
cake,蛋糕,(n.),0,0,2,2020/03/22 00:00:00
game,遊戲,(n.),0,0,2,2020/03/23 00:00:00
dive,潛水,(v.),0,0,2,2020/03/24 00:00:00
bike,自行車,(n.),0,0,2,2020/03/25 00:00:00
rose,玫瑰,(n.),0,0,3,2020/03/26 00:00:00
home,家、家園,(n.),0,0,3,2020/03/27 00:00:00
cute,可愛的,(adj.),0,0,3,2020/03/28 00:00:00
huge,巨大的,(adj.),0,0,3,2020/03/29 00:00:00
tree,樹木,(n.),0,0,4,2020/03/30 00:00:00
sheep,綿羊,(n.),0,0,4,2020/03/31 00:00:00
brown,棕色,(n.),0,0,4,2020/04/01 00:00:00
clown,小丑,(n.),0,0,4,2020/04/02 00:00:00
flower,花朵,(n.),0,0,5,2020/04/03 00:00:00
teacher,老師,(n.),0,0,5,2020/04/04 00:00:00
cook,教師,(n.),0,0,5,2020/04/05 00:00:00
zoo,動物園,(n.),0,0,5,2020/04/06 00:00:00
glass,玻璃(杯),(n.),0,0,6,2020/04/07 00:00:00
black,黑色,(n.),0,0,6,2020/04/08 00:00:00
crab,螃蟹,(n.),0,0,6,2020/04/09 00:00:00
frog,青蛙,(n.),0,0,6,2020/04/10 00:00:00
snake,蛇,(n.),0,0,7,2020/04/11 00:00:00
swim,游泳,(v.),0,0,7,2020/04/12 00:00:00
whale,鯨魚,(n.),0,0,7,2020/04/13 00:00:00
brush,刷子、筆刷,(n.),0,0,7,2020/04/14 00:00:00
